month,cty_code,country,gen_val_usd,gen_qty,qty_unit,con_val_usd,hts
2024-10,4631,ARMENIA,2203,12,NO,2203,7104911000
2024-10,4759,ITALY,0,0,NO,0,7104911000
2024-10,4890,TURKEY,0,0,NO,0,7104911000
2024-10,5081,ISRAEL,653419,2286,NO,806865,7104911000
2024-10,-,TOTAL FOR ALL COUNTRIES,107326069,7839183,NO,120813230,7104911000
2024-10,0003,EUROPEAN UNION,202062,291519,NO,202062,7104911000
2024-10,1XXX,NORTH AMERICA,454226,152,NO,454226,7104911000
2024-10,4XXX,EUROPE,347659,291767,NO,347659,7104911000
2024-10,7XXX,AFRICA,0,0,NO,916691,7104911000
2024-10,0014,PACIFIC RIM COUNTRIES,2624769,649042,NO,2632184,7104911000
2024-10,5XXX,ASIA,106519524,7547261,NO,119082579,7104911000
2024-10,6XXX,AUSTRALIA AND OCEANIA,4660,3,NO,12075,7104911000
2024-10,0020,USMCA (NAFTA),454226,152,NO,454226,7104911000
2024-10,0022,OECD,1457761,294196,NO,1618622,7104911000
2024-10,0023,NATO,687015,769,NO,687015,7104911000
2024-10,0025,EURO AREA,202062,291519,NO,202062,7104911000
2024-10,0026,APEC,9604531,664920,NO,11663823,7104911000
2024-10,0027,ASEAN,6762329,16160,NO,8814206,7104911000
2024-10,1220,CANADA,454226,152,NO,454226,7104911000
2024-10,7910,SOUTH AFRICA,0,0,NO,916691,7104911000
2024-10,7920,NAMIBIA,0,0,NO,0,7104911000
2024-10,7930,BOTSWANA,0,0,NO,0,7104911000
2024-11,5200,UNITED ARAB EMIRATES,213112,886,NO,213112,7104911000
2024-11,5330,INDIA,50928160,2377517,NO,55091833,7104911000
2024-11,5490,THAILAND,7910458,22094,NO,9702812,7104911000
2024-11,5520,VIETNAM,0,0,NO,0,7104911000
2024-11,5590,SINGAPORE,16023,2,NO,16023,7104911000
2024-11,5600,INDONESIA,114579,471,NO,114579,7104911000
2024-11,5700,CHINA,77100,18220,NO,77100,7104911000
2024-11,5820,HONG KONG,117796,1011,NO,117796,7104911000
2024-11,5880,JAPAN,0,0,NO,0,7104911000
2024-11,6021,AUSTRALIA,10609,3,NO,10609,7104911000
2024-11,6141,NEW ZEALAND,0,0,NO,0,7104911000
2024-11,4120,UNITED KINGDOM,44922,97,NO,44922,7104911000
2024-11,4210,NETHERLANDS,103963,327,NO,103963,7104911000
2024-11,4231,BELGIUM,7925,5,NO,7925,7104911000
2024-11,4280,GERMANY,237072,864,NO,237072,7104911000
2024-11,4330,AUSTRIA,7530,24703,NO,7530,7104911000
2024-11,4419,SWITZERLAND,4778,57,NO,4778,7104911000
2024-11,4631,ARMENIA,22155,151,NO,22155,7104911000
2024-11,4759,ITALY,0,0,NO,0,7104911000
2024-11,4890,TURKEY,15000,262,NO,15000,7104911000
2024-11,5081,ISRAEL,713374,7335,NO,696170,7104911000
2024-11,-,TOTAL FOR ALL COUNTRIES,61322183,2454410,NO,67261006,7104911000
2024-11,0003,EUROPEAN UNION,356490,25899,NO,356490,7104911000
2024-11,1XXX,NORTH AMERICA,777627,405,NO,777627,7104911000
2024-11,4XXX,EUROPE,443345,26466,NO,443345,7104911000
2024-11,7XXX,AFRICA,0,0,NO,0,7104911000
2024-11,0014,PACIFIC RIM COUNTRIES,336107,19707,NO,336107,7104911000
2024-11,5XXX,ASIA,60090602,2427536,NO,66029425,7104911000
2024-11,6XXX,AUSTRALIA AND OCEANIA,10609,3,NO,10609,7104911000
2024-11,0020,USMCA (NAFTA),777627,405,NO,777627,7104911000
2024-11,0022,OECD,1922800,34058,NO,1905596,7104911000
2024-11,0023,NATO,1186509,1960,NO,1186509,7104911000
2024-11,0025,EURO AREA,356490,25899,NO,356490,7104911000
